id,title,status,is_active,country,website,sphere_dataset_link,links_to_data,has_numerical_data,has_presence_values,population,sampled_locations,sampling_started,total_samples,total_dates_sampled,last_update,notes,targets,data_format,sampling_technique,category
ac5ed15a-f60d-4edd-9153-9aaecc8e354e,Sweden - SciLifeLab Dashboard,,True,SE,"{'uri': 'https://covid19dataportal.se/data_types/environment/wastewater/', 'title': '', 'options': []}",https://dev.w4c.venthic.com/sites/default/files/uploaded_resources/sweden_samples_202106.geojson,[],True,False,,,2020-04-13,124,77,,,N1,,,Data Dashboard
749d17be-d0a4-4cd7-be58-9f91bf41cb3e,US - Hawaii - Oahu,,False,US,"{'uri': 'https://www.oneoahu.org/dashboard', 'title': '', 'options': []}",https://sphere.waterpathogens.org/sites/default/files/uploaded_resources/honolulu_samples_202106.geojson,[],False,True,,,,232,28,,,,,,Data Dashboard included in W-SPHERE
155d1d65-dc27-418b-8c0a-176b0cad1609,New Zealand - ESR Dashboard,,True,NZ,"{'uri': 'https://www.esr.cri.nz/our-expertise/covid-19-response/wastewater-testing-results/', 'title': '', 'options': []}",,[],False,False,,,,0,0,,,,,,Data Dashboard
a5628e1e-e0fd-4707-baee-0621c3fe5d30,Canada - Newfoundland Labrador Dashboard,,True,CA,"{'uri': 'https://www.gov.nl.ca/ecc/waterres/wastewater-surveillance-for-covid-19-virus/', 'title': '', 'options': []}",,[],True,True,,,,0,0,,,,,,Data Dashboard
dcf1c4d6-18af-43bd-9581-139ef9027edb,Canada - Ontario - Durham,,True,CA,"{'uri': 'https://app.powerbi.com/view?r=eyJrIjoiMjU2MmEzM2QtNDliNS00ZmIxLWI5MzYtOTU0NTI1YmU5MjQ2IiwidCI6IjUyZDdjOWMyLWQ1NDktNDFiNi05YjFmLTlkYTE5OGRjM2YxNiJ9', 'title': '', 'options': []}",,[],True,True,,,,0,0,,,,,,Data Dashboard
79dd2fce-e024-40c7-bcd6-71b7861ef884,USA - California - San Bernardino,,True,US,"{'uri': 'https://datastudio.google.com/u/0/reporting/430e67c8-acaf-4574-a2d4-48d0b665ab05/page/jMhOC', 'title': '', 'options': []}",,[],True,True,,,,0,0,,,,,,Data Dashboard
8a56b701-8e95-47b8-98c2-ecaec05a3feb,USA - Texas - Houston,,True,US,"{'uri': 'https://covidwwtp.spatialstudieslab.org/', 'title': '', 'options': []}",,[],True,True,,,,0,0,,,,,,Data Dashboard
506a3202-55b7-4337-ae9c-61463ec4c8b1,USA - Kansas - Lawrence,,True,US,"{'uri': 'https://experience.arcgis.com/experience/4456bae8a38f4b6180e008477382fff9/page/page_0/', 'title': '', 'options': []}",,[],True,True,,,,0,0,,,,,,Data Dashboard
81a0dd51-0674-45c3-9462-2971a678c66b,Belgium - Country Dashboard,,True,BE,"{'uri': 'https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/p_ggbfgsqtmc', 'title': '', 'options': []}",,[],True,True,,,,0,0,,,,,,Data Dashboard
a5572da4-a9ab-4b00-8e7d-03f99274d254,USA - Wyoming Dashboard ,,True,US,"{'uri': 'https://covidwastewatermonitor.wyo.gov/', 'title': '', 'options': []}",,[],True,True,,,,0,0,,,,,,Data Dashboard
